CustomerID,RegistrationDate,Age,Gender,IncomeLevel,Country,City,TotalPurchases,AverageOrderValue,CustomerLifetimeValue,FavoriteCategory,SecondFavoriteCategory,EmailEngagementRate,SocialMediaEngagementRate,MobileAppUsage,CustomerServiceInteractions,AverageSatisfactionScore,EmailConversionRate,SocialMediaConversionRate,SearchEngineConversionRate,RepeatCustomer,PremiumMember,HasReturnedItems
,2020-05-10,25,nan,nan,Other,Tokyo,4,15.88650949,,Clothing,Books,0.3323645113,0.3796939474,High,0,6.240881372,0.11295507,0.2399476718,0.1567757569,Yes,Yes,No
CUST00002,2021-07-18,,Prefer not to say,High,Germany,London,6,27.63885266,181.7250556,Electronics,Toys,0.3445742804,0.1409878659,Low,0,7.721916904,0.3009787414,0.2308210372,0.2907347701,Yes,No,No
CUST00003,2021-02-04,43,nan,High,France,,10,161.7394255,1810.55515,,Books,0.4096559769,0.3236597408,Low,0,7.899041671,,0.1322389024,0.05050546901,Yes,No,Yes
CUST00004,2020-12-31,49,Female,High,Australia,Los Angeles,5,14.1942627,86.21974008,Sports,Clothing,0.3567648076,0.2684279445,Never,1,7.829458867,0.07409744539,0.2066438171,0.2810671496,Yes,Yes,No
CUST00005,2022-06-27,29,Female,Very High,Australia,Tokyo,7,31147.42721,2112.575945,Clothing,Beauty,0.2227030774,0.1604265637,High,,7.777352695,0.1634376529,0.2324097764,0.3266450875,Yes,No,No
,2023-12-10,57,Male,Low,USA,Sydney,3,18.98549454,5.788113917,Sports,Toys,0.4839585668,0.2268742393,nan,2,4.059193595,0.1075970767,0.3207413886,0.3172167905,Yes,No,Yes
CUST00007,2019-04-12,23,nan,nan,Canada,Los Angeles,0,42.48791287,-74.76960172,nan,Home Goods,0.5050866441,0.5691960628,Low,0,6.339854849,0.3443784022,0.2237739702,0.183313347,No,No,No
CUST00008,2021-05-23,57,Other,Medium,Germany,Berlin,1,49.18446198,158.352044,Home Goods,Toys,0.2996004252,0.4005337284,High,0,8.718546524,,0.4497737499,0.148400992,No,No,No
CUST00009,2018-11-27,43,Prefer not to say,High,Canada,New York,3,199.1637985,525.9858708,Electronics,Sports,0.400413956,0.3474263316,nan,0,,0.05574404782,0.2074916772,0.1922263002,Yes,No,Yes
CUST00010,2022-01-22,16,nan,High,Australia,Los Angeles,5,67.21954827,449.882962,Food,Beauty,0.4709170182,0.400635779,,2,4.202159603,0.1438631862,0.2503721005,0.1085016392,Yes,No,No
CUST00011,2023-11-06,64,,Low,Australia,New York,4,19.99373126,60.10942808,Sports,Clothing,,0.002377809913,,2,8.793455302,0.0972732732,0.239863912,0.296392916,Yes,No,Yes
CUST00012,2018-05-11,28,Prefer not to say,High,France,Berlin,4,23.93558702,-37.64847753,Home Goods,Home Goods,0.3396751913,0.1863511142,Medium,1,8.785575523,0.1842804869,0.1129636042,0.19851516,,,No
CUST00013,2022-08-13,53,nan,,France,Paris,5,177.8645023,813.5337902,Home Goods,Clothing,0.1849667801,0.4930770794,Low,4,6.902563563,0.1922807722,0.1962173103,0.2061180939,Yes,No,
CUST00014,2020-02-09,37,nan,High,UK,Los Angeles,4,154.417842,540.3115544,Home Goods,Beauty,0.1349309414,0.471502786,Medium,,5.513807886,0.1871846888,0.1602956096,0.1021839591,Yes,No,Yes
CUST00015,2022-02-24,40,Prefer not to say,,Australia,London,2,54.96655894,159.0669766,nan,Beauty,,0.5318911174,Low,2,7.30990165,0.09256109359,0.1489395168,0.2831685421,Yes,Yes,No
CUST00016,2021-04-30,48,Other,Very High,France,Sydney,1,,256.6866467,nan,Food,0.2365871907,,Low,1,7.39392086,0.0772505946,0.1287334384,0.233329963,No,No,No
CUST00017,2020-08-13,47,Prefer not to say,nan,Other,New York,9,45.34244074,296.3122064,Beauty,Beauty,0.5714438011,0.3070496647,Medium,4,7.152114409,,0.4666310874,0.09239848249,Yes,No,No
